Classifier,Accuracy (mean ± std),Precision (mean ± std),Recall (mean ± std),Specificity (mean ± std),F1 score (mean ± std),ROC AUC score (mean ± std)
Logistic Regression,0.916 ± 0.000,0.541 ± 0.014,0.106 ± 0.009,0.992 ± 0.001,0.177 ± 0.012,0.840 ± 0.003
Random Forest,0.906 ± 0.001,0.360 ± 0.015,0.133 ± 0.004,0.978 ± 0.001,0.194 ± 0.006,0.786 ± 0.002
